trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",25,19,8.127566600559124,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.01, 'e': 0.999000499833375}",35,0,-282.6697714003962,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 5}",0
3,False,"{'a': 0.01, 'e': 0.9980019986673331}",20,0,-142.27671478869453,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.997004495503373}",25,0,-84.93558006185165,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9960079893439915}",25,0,-108.39965430082033,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9950124791926823}",20,9,-23.672152754046785,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
7,False,"{'a': 0.01, 'e': 0.9940179640539353}",20,0,-56.38345742813042,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9930244429332351}",25,0,-250.26128935296663,"{0: 7, 1: 7, 2: 6, 3: 2, 4: 3}",0
9,False,"{'a': 0.01, 'e': 0.9920319148370607}",25,0,-60.217434921853894,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9910403787728836}",35,22,-8.58295475972446,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.01, 'e': 0.9900498337491681}",25,0,-121.44951263301398,"{0: 14, 1: 1, 2: 7, 3: 3, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.9890602787753687}",25,0,-229.1710441496386,"{0: 13, 1: 0, 2: 7, 3: 1, 4: 4}",0
13,False,"{'a': 0.01, 'e': 0.9880717128619305}",30,0,-192.02736135794422,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.9870841350202876}",20,0,-66.00025007681792,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.9860975442628619}",20,0,-144.86743302366878,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.9851119396030626}",30,0,-138.56537012578272,"{0: 15, 1: 7, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9841273200552851}",30,0,-239.67453284271116,"{0: 17, 1: 3, 2: 4, 3: 2, 4: 4}",0
18,False,"{'a': 0.01, 'e': 0.9831436846349096}",30,0,-189.34818324950967,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
19,False,"{'a': 0.01, 'e': 0.9821610323583008}",20,0,-162.49948410097787,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
20,False,"{'a': 0.01, 'e': 0.981179362242806}",35,0,-218.56820059263976,"{0: 16, 1: 7, 2: 8, 3: 2, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.9801986733067553}",35,0,-213.12597226937183,"{0: 22, 1: 3, 2: 4, 3: 3, 4: 3}",0
22,False,"{'a': 0.01, 'e': 0.9792189645694596}",30,0,-192.26434587418592,"{0: 13, 1: 4, 2: 11, 3: 0, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.97824023505121}",25,0,-13.208642716979135,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.9772624837732771}",30,0,-169.6500968982583,"{0: 14, 1: 4, 2: 10, 3: 1, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.9762857097579093}",20,0,-127.9401026329021,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
26,False,"{'a': 0.01, 'e': 0.9753099120283326}",25,0,-158.16552352499485,"{0: 11, 1: 4, 2: 7, 3: 2, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.9743350896087494}",25,14,-17.391869595005943,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.01, 'e': 0.9733612415243368}",20,0,-73.4166735336926,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.9723883668012469}",20,10,-11.6450677591406,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.01, 'e': 0.9714164644666048}",20,0,-111.91327687233556,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
