trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",20,0,-102.4895021578725,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1}",20,0,-129.64507765675364,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1}",20,0,-64.86743890578227,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1}",25,0,-89.02162958561519,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1}",25,0,-106.58791759915971,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1}",25,12,4.755907295803283,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1}",30,0,-116.09028186819789,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1}",25,0,-44.20529873685274,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1}",30,0,-67.19248469541387,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1}",35,0,-231.48369982340256,"{0: 18, 1: 2, 2: 10, 3: 3, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1}",20,0,-49.26822225200096,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1}",30,0,-142.91408560741488,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1}",20,0,-59.207589945039494,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1}",20,9,-14.22699263158311,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1}",20,0,-145.59519913829993,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1}",20,0,-67.0825013213985,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1}",20,0,-62.826336639084744,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1}",25,0,-135.60688767955858,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1}",20,0,-83.30714526918929,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1}",20,0,-44.21662192815396,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1}",20,0,-78.3578606122625,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1}",20,0,-113.33578569102463,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1}",25,0,-88.58134399707569,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1}",30,0,-245.91406013939908,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 5}",0
5,True,"{'a': 0.5, 'e': 1}",20,0,-160.1753721075077,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1}",25,0,-90.50298749265372,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1}",30,0,-222.87526251902875,"{0: 15, 1: 3, 2: 8, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1}",25,0,-29.385736642722115,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1}",20,0,-71.90619495505632,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1}",30,0,-204.24050894401145,"{0: 16, 1: 1, 2: 10, 3: 0, 4: 3}",0
